0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2160.0,4691.0,9274.0,14685.0,18723.0,18767.0,14768.0,9179.0,4614.0,1856.0,585.0,147.0,30.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2263.0,4849.0,9356.0,14520.0,18426.0,18687.0,14607.0,9199.0,4728.0,1945.0,655.0,161.0,40.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2424.0,5050.0,9285.0,14529.0,18130.0,18433.0,14521.0,9250.0,4841.0,2028.0,693.0,193.0,41.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2554.0,5132.0,9391.0,14475.0,17846.0,18017.0,14525.0,9387.0,4921.0,2121.0,717.0,226.0,46.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2666.0,5233.0,9484.0,14367.0,17644.0,17700.0,14490.0,9371.0,5064.0,2182.0,799.0,242.0,57.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2774.0,5418.0,9537.0,14184.0,17503.0,17429.0,14259.0,9498.0,5168.0,2273.0,866.0,274.0,69.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2948.0,5545.0,9559.0,14090.0,17218.0,17294.0,14098.0,9507.0,5277.0,2391.0,904.0,302.0,90.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3082.0,5656.0,9626.0,13932.0,16930.0,17176.0,13942.0,9602.0,5291.0,2482.0,1001.0,316.0,90.0,19.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3220.0,5717.0,9701.0,13878.0,16823.0,16797.0,13881.0,9690.0,5320.0,2554.0,1080.0,336.0,95.0,20.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3300.0,5851.0,9744.0,13732.0,16613.0,16741.0,13682.0,9685.0,5477.0,2593.0,1122.0,383.0,103.0,24.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
